"";"ID";"READING"
"1";1;99
"2";2;96
"3";3;82
"4";4;102
"5";5;107
"6";6;97
"7";7;88
"8";8;92
"9";9;77
"10";10;101
"11";11;92
"12";12;101
"13";13;94
"14";14;109
"15";15;99
"16";16;126
"17";17;100
"18";18;97
"19";19;87
"20";20;99
"21";21;87
"22";22;103
"23";23;86
"24";24;102
"25";25;93
"26";26;80
"27";27;110
"28";28;104
"29";29;85
"30";30;95
"31";31;87
"32";32;91
"33";33;102
"34";34;106
"35";35;107
"36";36;104
"37";37;96
"38";38;62
"39";39;103
"40";40;107
"41";41;102
"42";42;84
"43";43;102
"44";44;107
"45";45;82
"46";46;103
"47";47;123
"48";48;80
"49";49;106
"50";50;94
"51";51;82
"52";52;87
"53";53;97
"54";54;93
"55";55;82
