ID	Gain	Group
01	-0.5	1
02	-9.3	1
03	-5.4	1
04	12.3	1
05	-2.0	1
06	-10.2	1
07	-12.2	1
08	11.6	1
09	-7.1	1
10	6.2	1
11	-0.2	1
12	-9.2	1
13	8.3	1
14	3.3	1
15	11.3	1
16	0.0	1
17	-1.0	1
18	-10.6	1
19	-4.6	1
20	-6.7	1
21	2.8	1
22	0.3	1
23	1.8	1
24	3.7	1
25	15.9	1
26	-10.2	1
27	1.7	2
28	0.7	2
29	-0.1	2
30	-0.7	2
31	-3.5	2
32	14.9	2
33	3.5	2
34	17.1	2
35	-7.6	2
36	1.6	2
37	11.7	2
38	6.1	2
39	1.1	2
40	-4.0	2
41	20.9	2
42	-9.1	2
43	2.1	2
44	-1.4	2
45	1.4	2
46	-0.3	2
47	-3.7	2
48	-0.8	2
49	2.4	2
50	12.6	2
51	1.9	2
52	3.9	2
53	0.1	2
54	15.4	2
55	-0.7	2
