COUNTRY	INFMORT	INCOME	YOUNGMOM	OLDMOM	TOOSOON	CONTRACE	NEED	FILTER_$
Benin_Rep	104	933	16	5	17	3	26	1
Burkina_Faso	109	965	17	5	17	5	26	1
Cameroon	80	1573	21	4	25	7	20	1
Central_African_Rep	102	1166	22	5	26	3	16	1
Chad_Rep	110	850	21	3	24	1		1 	
Cte_dIvoire	91	1654	21	6	16	4	28	1
Eritrea	76	880	15	7	26	4	28	1
Ethiopia	113	628	14	6	20	6	23	1
Gabon	61	6024	22	4	22	12	28	0
Ghana	61	1881	15	5	13	13	23	1
Guinea	107	1934	22	5	17	4	24	1
Kenya	71	1022	18	3	23	32	24	1
Madagascar	99	799	21	5	31	10	26	1
Malawi	113	586	21	6	17	26	30	1
Mali	134	753	21	4	26	5	26	1
Mozambique	147	861	24	6	19	5	7	1
Namibia	62	5468	15	7	22	26	22	0
Niger	136	753	23	5	25	5	17	1
Nigeria	71	853	17	5	27	9	18	1
Rwanda	90	885	9	7	21	13	36	1
Senegal	69	1419	14	7	18	8	35	1
Tanzania	108	501	19	5	17	17	22	1
Togo	80	1410	13	6	14	7	32	1
Uganda	86	650	23	4	28	8	35	1
Zambia	108	756	30	4	19	14	27	1
Zimbabwe	60	2876	32	4	12	50	13	1
